Fandom,Type,Total Works,Excluding Crossovers,Total Fix-It Fics,Fix-It Fics without Crossovers
Portal (Video Game),Video Games,1354,1025,1,0
The Creatures | Cow Chop RPF,Celebrities *a* Real People,1194,1120,1,0
Hunger Games Series - All Media Types,Books *a* Literature,10652,9006,54,41
Gotham (TV),TV Shows,8885,8548,177,172
Political RPF,Celebrities *a* Real People,2527,1983,7,3
The Avengers (Marvel) - All Media Types,Movies,165337,138884,5093,4403
All For The Game - Nora Sakavic,Books *a* Literature,5479,5315,11,6
YG Entertainment | YG Family,Music *a* Bands,5786,5588,0,0
Free!,Anime *a* Manga,16334,15566,9,8
Le Fantôme de l'Opéra | Phantom of the Opera & Related Fandoms,Books *a* Literature,2330,1931,20,14
The Adventure Zone (Podcast),Other Media,8714,8509,39,36
Doctor Who & Related Fandoms,Other Media,71605,58547,1013,838
Deadpool - All Media Types,Cartoons *a* Comics *a* Graphic Novels,8694,7404,52,40
Supergirl (TV 2015),TV Shows,26624,25414,365,344
The Wizard of Oz & Related Fandoms,TV Shows,1937,1498,11,8
Red Hood and the Outlaws (Comics),Cartoons *a* Comics *a* Graphic Novels,4075,3542,65,48
The Dresden Files - Jim Butcher,Books *a* Literature,1790,1195,8,6
全职高手 - 蝴蝶蓝 | Quánzhí Gāoshǒu - Húdié Lán,Books *a* Literature,9010,7402,9,0
Mass Effect - All Media Types,Cartoons *a* Comics *a* Graphic Novels,21534,20459,175,169
Pocket Monsters | Pokemon - All Media Types,Anime *a* Manga,18966,16162,40,26
Charmed (TV 1998),TV Shows,1195,696,20,9
How to Get Away with Murder,TV Shows,2151,2062,19,18
Gorillaz,Music *a* Bands,1709,1596,9,7
Mad Max Series (Movies),Movies,2629,2376,70,66
Girl Genius (Webcomic),Cartoons *a* Comics *a* Graphic Novels,1041,965,0,0
Harry Potter - J. K. Rowling,Books *a* Literature,226821,203214,3737,3257
Dark Angel (TV),TV Shows,1337,987,4,2
Dungeons & Dragons - All Media Types,Books *a* Literature,16404,14760,260,248
All That Jazz (1979),Uncategorized Fandoms,0,0,0,0
幽☆遊☆白書 | YuYu Hakusho: Ghost Files,Anime *a* Manga,2262,1826,7,3
Hannibal (TV),TV Shows,22039,19602,393,344
Wonder Woman - All Media Types,Movies,2392,1906,141,124
Monkey King Kids (2010),Uncategorized Fandoms,0,0,0,0
Jessica Jones (TV),TV Shows,1830,1528,25,23
James Bond (Craig movies),Books *a* Literature,10013,8040,183,147
My Little Pony,Cartoons *a* Comics *a* Graphic Novels,3139,2226,8,5
Teen Titans (Animated Series),Cartoons *a* Comics *a* Graphic Novels,2386,2057,8,5
Bleach,Anime *a* Manga,13524,12198,156,131
Bones (TV),TV Shows,1946,1396,10,5
Band of Brothers,TV Shows,2803,2532,10,9
RIORDAN Rick - Works,Books *a* Literature,17423,15117,129,101
Raising Dion (2019),Uncategorized Fandoms,0,0,0,0
Mass Effect Trilogy,Video Games,18093,17191,160,154
From Dusk Till Dawn: The Series,TV Shows,1191,1141,7,7
Tokyo Ghoul,Anime *a* Manga,6924,6189,35,27
Dragon Age: Origins - Awakening,Video Games,1550,1519,16,15
Peter Pan & Related Fandoms,Books *a* Literature,1618,1042,5,1
偶像练习生 | Idol Producer (TV),TV Shows,6126,4831,0,0
d'Artagnan Romances (Three Musketeers Series) - All Media Types,Movies,5929,5580,14,13
HAUNT (2019),Uncategorized Fandoms,0,0,0,0
PIERCE Tamora - Works,Books *a* Literature,2844,2697,7,7
Saint Seiya,Anime *a* Manga,3485,3367,10,8
Les Misérables - All Media Types,Theater,20213,19132,594,568
Outlander & Related Fandoms,TV Shows,2348,2153,1,0
The Eagle - Ambiguous Fandom,TV Shows,1048,963,1,1
Les Misérables - Victor Hugo,Books *a* Literature,5964,5696,351,338
VIXX,Music *a* Bands,5404,5308,0,0
Smallville,Cartoons *a* Comics *a* Graphic Novels,10315,9474,62,59
The Social Network (2010),Movies,1848,1607,102,95
Twenty One Pilots,Music *a* Bands,9079,8256,5,4
Minecraft (Video Game),Celebrities *a* Real People,1958,1278,7,4
Rockman | Mega Man - All Media Types,Video Games,1552,1326,7,5
The Hobbit - J. R. R. Tolkien,Books *a* Literature,9960,9384,446,425
Avatar: Legend of Korra,Cartoons *a* Comics *a* Graphic Novels,8926,7391,14,8
Rhett & Link,Other Media,3373,3326,0,0
Being Human (UK),TV Shows,1507,820,8,4
Pentagon (Korea Band),Music *a* Bands,1058,1032,0,0
Burn Notice,TV Shows,1001,777,15,12
Alien Series,Movies,1206,726,19,12
Guardians of Childhood & Related Fandoms,Movies,8371,5083,28,15
Ouran High School Host Club - All Media Types,TV Shows,2714,2169,3,1
The Vampire Diaries (TV),TV Shows,9847,8449,105,80
Pocket Monsters SPECIAL | Pokemon Adventures,Anime *a* Manga,1054,983,1,1
A Series of Unfortunate Events - Lemony Snicket,Books *a* Literature,1158,492,25,3
d'Artagnan Romances (Three Musketeers Series) - All Media Types,Books *a* Literature,5929,5580,14,13
Devil May Cry,Anime *a* Manga,5163,4598,21,17
Ghostbusters - All Media Types,Cartoons *a* Comics *a* Graphic Novels,3156,2846,7,5
モブサイコ100 | Mob Psycho 100,Anime *a* Manga,5122,4907,1,1
Dangan Ronpa - All Media Types,Books *a* Literature,21150,19827,123,116
Star Wars: Queen Amidala Series - E.K. Johnston (2019),Uncategorized Fandoms,0,0,0,0
CLAMP - Works,Anime *a* Manga,5867,5061,37,25
Percy Jackson and the Olympians & Related Fandoms - All Media Types,Books *a* Literature,20159,17216,145,114
Smosh,Other Media,1030,991,0,0
The Creatures | Cow Chop RPF,Other Media,1194,1120,1,0
Sherlock (TV) RPF,Celebrities *a* Real People,1259,838,2,1
人渣反派自救系统 - 墨香铜臭 | The Scum Villain's Self-Saving System - Mòxiāng Tóngxiù,Books *a* Literature,2682,2492,53,49
Wonder Woman - All Media Types,Cartoons *a* Comics *a* Graphic Novels,2392,1906,141,124
Game of Thrones (TV),TV Shows,39502,37200,1423,1378
Deltarune (Video Game),Video Games,1103,680,4,2
One Direction (Band),Music *a* Bands,57847,52310,31,24
Haven (TV),TV Shows,1643,1495,42,42
Justice League (2017),Movies,1032,947,15,15
KinKi Kids,Music *a* Bands,1035,1018,0,0
Farscape,TV Shows,1394,1139,3,1
The Penumbra Podcast,Other Media,1476,1448,18,18
World Wrestling Entertainment,Other Media,11258,10819,25,25
Spider-Man: Into the Spider-Verse (2018),Movies,1439,1325,20,18
The West Wing,TV Shows,7329,6798,5,2
My Chemical Romance,Music *a* Bands,15192,12682,3,1
Ghost (Sweden Band),Music *a* Bands,1298,1191,1,1
Suicide Squad (2016),Movies,1509,1281,23,20
Don't Starve (Video Game),Video Games,1084,1027,0,0
Heathers (1988),Movies,1165,156,30,3
Ancient Greek Religion & Lore,Books *a* Literature,3681,1835,29,2
Kamen Rider - All Media Types,TV Shows,3936,3658,22,21
Daredevil (TV),TV Shows,10969,10181,123,110
Gossip Girl (TV 2007),TV Shows,1223,990,10,7
王者荣耀 | King of Glory (Video Game),Video Games,1682,1624,0,0
Black Sails,TV Shows,4113,3987,112,107
Dracula & Related Fandoms,Movies,2871,2109,16,11
The Eagle - Ambiguous Fandom,Books *a* Literature,1048,963,1,1
The Devil Wears Prada (2006),Movies,2081,1927,1,1
The Eagle | The Eagle of the Ninth - All Media Types,Movies,1045,961,1,1
Sherlock (TV),TV Shows,113593,102579,1203,1101
Assassin's Creed - All Media Types,Cartoons *a* Comics *a* Graphic Novels,8365,7379,169,136
Object and Concept Anthropomorphism,Other Media,1412,1086,6,3
IT (Movies - Muschietti),Movies,11361,2831,1314,307
Kamen Rider - All Media Types,Movies,3936,3658,22,21
Battlestar Galactica - All Media Types,TV Shows,5787,5084,36,31
The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien,Books *a* Literature,13174,12676,120,109
The Musketeers (2014),TV Shows,5448,5206,13,12
Labyrinth (1986),Movies,2559,1942,9,2
Star Trek RPF,Celebrities *a* Real People,2126,1852,1,1
The Dragon Prince (Cartoon),Cartoons *a* Comics *a* Graphic Novels,2266,2180,22,22
Undertale (Video Game),Video Games,30557,28392,45,36
第三凶間｜Synesthesia (2006),Uncategorized Fandoms,0,0,0,0
Marvel Cinematic Universe,TV Shows,323270,285737,7123,6290
Deadpool (Movieverse),Movies,1695,1486,23,19
Fringe (TV),TV Shows,1795,1493,10,7
World of Warcraft,Video Games,5143,4721,47,43
Fantastic Four,Cartoons *a* Comics *a* Graphic Novels,1807,1433,13,6
LOONA (Korea Band),Music *a* Bands,2073,2022,0,0
Tales of Zestiria,Video Games,1828,1787,5,5
Antichrist (2009),Uncategorized Fandoms,0,0,0,0
Assassin's Creed - All Media Types,Books *a* Literature,8365,7379,169,136
Dungeons & Dragons (Roleplaying Game),Other Media,3927,2649,12,9
Elder Scrolls V: Skyrim,Video Games,6351,5486,24,18
Hamilton - Miranda,Theater,16947,14467,81,62
Terminator - All Media Types,Movies,1472,1111,27,24
Law & Order: SVU,TV Shows,6816,6048,58,55
NCIS,TV Shows,15316,12746,80,67
Doctor Who (2005),TV Shows,37022,31697,663,581
InuYasha - A Feudal Fairy Tale,Anime *a* Manga,6064,4578,15,5
Professional Wrestling,Other Media,13364,12838,31,31
Divergent - All Media Types,Books *a* Literature,1241,985,11,9
Persona 4,Video Games,4458,4137,27,26
Eureka (TV),TV Shows,1105,777,19,12
The Magnificent Seven (TV),TV Shows,3731,3233,1,0
TWICE (Band),Music *a* Bands,4021,3903,0,0
Transformers - All Media Types,Movies,32309,30969,202,188
In the Loop (2009) & The Thick of It,TV Shows,1051,807,5,4
The Lord of the Rings (Movies),Movies,5167,4597,53,48
Rockman | Mega Man - All Media Types,Anime *a* Manga,1552,1326,7,5
Men's Football RPF,Celebrities *a* Real People,13818,13638,11,11
Promare (2019),Anime *a* Manga,1015,987,0,0
Religion & Lore - Ambiguous Fandom,Books *a* Literature,3437,865,55,0
The Good Wife (TV),TV Shows,1154,914,5,3
Venom (Movie 2018),Movies,3741,3475,29,24
Shin Megami Tensei Series,Video Games,18138,16873,341,328
Superman (Comics),Cartoons *a* Comics *a* Graphic Novels,1288,1185,11,10
Holby City,TV Shows,3010,2861,69,68
The Walking Dead (Telltale Video Game),Video Games,1599,1487,16,16
Music RPF,Music *a* Bands,53065,40855,50,30
Final Fantasy VIII,Video Games,2011,1698,7,4
Star Wars: Rise of Empire Era - All Media Types,Books *a* Literature,17764,16898,651,634
Rhett & Link,Celebrities *a* Real People,3374,3327,0,0
The Terror (TV 2018),TV Shows,1264,892,83,52
Iron Man (Comics),Cartoons *a* Comics *a* Graphic Novels,1376,1109,57,48
The Professionals (TV 1977),TV Shows,2898,2699,0,0
Produce 101 (TV),Celebrities *a* Real People,4550,4344,1,1
Guardians of Childhood & Related Fandoms,Books *a* Literature,8374,5086,28,15
Blake's 7,TV Shows,2860,2607,19,18
剑侠情缘 | Jianxiaqingyuan | JX (Video Games),Video Games,1216,1157,0,0
Carry On Series - Rainbow Rowell,Books *a* Literature,4315,4131,24,22
Sanders Sides (Web Series),Other Media,14260,12425,7,5
Fate/stay night & Related Fandoms,Video Games,6279,5510,31,20
陰陽師 | Onmyoji (Video Game),Video Games,1784,1720,2,2
The Magnus Archives (Podcast),Other Media,3619,3460,53,52
Super Dangan Ronpa 2,Video Games,6206,5855,40,37
Tangled (2010),Movies,1952,1005,7,4
Tennis no Oujisama | Prince of Tennis,TV Shows,5181,4887,3,2
The Big Bang Theory (TV),TV Shows,2037,1661,9,6
Spider-Man - All Media Types,Movies,37050,32915,685,616
Assassin's Creed - All Media Types,Video Games,8365,7379,169,136
Little Witch Academia,Anime *a* Manga,1380,1268,0,0
Death Note & Related Fandoms,Anime *a* Manga,5923,5216,95,83
Highlander: The Series,Movies,4995,3149,35,11
Dracula & Related Fandoms,TV Shows,2871,2109,16,11
Eddsworld - All Media Types,Cartoons *a* Comics *a* Graphic Novels,2426,2326,1,1
Lucifer (TV),TV Shows,5997,5167,69,50
Fate/Grand Order,Video Games,3488,3203,17,9
ダイヤのA | Daiya no A | Ace of Diamond,Anime *a* Manga,6222,5987,6,6
Andi Mack (TV),TV Shows,2312,2278,26,26
Mamamoo,Music *a* Bands,1118,1063,0,0
MacGyver (TV 2016),TV Shows,2110,1946,21,19
Lego - All Media Types,Cartoons *a* Comics *a* Graphic Novels,2789,2575,9,7
The Shadowhunter Chronicles - All Media Types,Movies,32985,31564,353,336
Percy Jackson and the Olympians - Rick Riordan,Movies,14343,12388,119,93
